date,datapoint,metric_key,value,unit,source_run,logged_at
2026-06-29,no2_japan,no2_sapporo,2.523e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:31
2026-06-29,no2_japan,no2_okutama_ref,3.456e-05,mol/m2,21d-mean 2026-06-08..2026-06-29,2026-06-29T02:03:32
2026-06-30,no2_japan,no2_tokyo,0.0001107,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:26
2026-06-30,no2_japan,no2_osaka,6.766e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:26
2026-06-30,no2_japan,no2_nagoya,6.154e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_fukuoka,3.512e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_sapporo,2.518e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:27
2026-06-30,no2_japan,no2_okutama_ref,3.456e-05,mol/m2,21d-mean 2026-06-09..2026-06-30,2026-06-30T02:02:28
2026-06-29,atmospheric_river,ivt_max,903.5,kg/m/s,2026-06-29T18Z GFS,2026-06-30T02:02:47
2026-06-29,atmospheric_river,ivt_median,193.6,kg/m/s,2026-06-29T18Z GFS,2026-06-30T02:02:47
2026-07-01,no2_japan,no2_tokyo,0.0001105,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:12
2026-07-01,no2_japan,no2_osaka,6.763e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:12
2026-07-01,no2_japan,no2_nagoya,5.961e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:13
2026-07-01,no2_japan,no2_fukuoka,3.512e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:13
2026-07-01,no2_japan,no2_sapporo,2.5e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:14
2026-07-01,no2_japan,no2_okutama_ref,3.566e-05,mol/m2,21d-mean 2026-06-10..2026-07-01,2026-07-01T02:03:14
2026-06-30,atmospheric_river,ivt_max,1402,kg/m/s,2026-06-30T18Z GFS,2026-07-01T02:03:30
2026-06-30,atmospheric_river,ivt_median,220.8,kg/m/s,2026-06-30T18Z GFS,2026-07-01T02:03:30
2026-07-02,no2_japan,no2_tokyo,0.0001122,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:06
2026-07-02,no2_japan,no2_osaka,7.344e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_nagoya,6.027e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_fukuoka,3.605e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:07
2026-07-02,no2_japan,no2_sapporo,2.615e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:08
2026-07-02,no2_japan,no2_okutama_ref,3.564e-05,mol/m2,21d-mean 2026-06-11..2026-07-02,2026-07-02T11:23:08
2026-07-01,atmospheric_river,ivt_max,1655,kg/m/s,2026-07-01T18Z GFS,2026-07-02T02:02:46
2026-07-01,atmospheric_river,ivt_median,179.7,kg/m/s,2026-07-01T18Z GFS,2026-07-02T02:02:46
2026-07-02,atmospheric_river,ivt_max,1255,kg/m/s,2026-07-02T18Z GFS,2026-07-03T02:03:10
2026-07-02,atmospheric_river,ivt_median,220.2,kg/m/s,2026-07-02T18Z GFS,2026-07-03T02:03:10
2026-07-03,no2_japan,no2_tokyo,0.0001108,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:32
2026-07-03,no2_japan,no2_osaka,6.259e-05,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:32
2026-07-03,no2_japan,no2_nagoya,5.662e-05,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:33
2026-07-03,no2_japan,no2_fukuoka,3.693e-05,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:33
2026-07-03,no2_japan,no2_sapporo,2.694e-05,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:33
2026-07-03,no2_japan,no2_okutama_ref,3.438e-05,mol/m2,21d-mean 2026-06-12..2026-07-03,2026-07-03T04:35:34
2026-07-02,atmospheric_river,pwat_max,77.6,mm,2026-07-02T18Z GFS,2026-07-03T04:35:41
2026-07-02,atmospheric_river,vort850_max,147.9,1e-5/s,2026-07-02T18Z GFS,2026-07-03T04:35:41
2026-07-04,no2_japan,no2_tokyo,0.0001108,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:11
2026-07-04,no2_japan,no2_osaka,6.259e-05,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:11
2026-07-04,no2_japan,no2_nagoya,5.662e-05,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:11
2026-07-04,no2_japan,no2_fukuoka,3.693e-05,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:12
2026-07-04,no2_japan,no2_sapporo,2.676e-05,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:12
2026-07-04,no2_japan,no2_okutama_ref,3.438e-05,mol/m2,21d-mean 2026-06-13..2026-07-04,2026-07-04T02:03:12
2026-07-03,atmospheric_river,pwat_max,80.56,mm,2026-07-03T18Z GFS,2026-07-04T02:03:26
2026-07-03,atmospheric_river,vort850_max,364.1,1e-5/s,2026-07-03T18Z GFS,2026-07-04T02:03:26
2026-07-05,no2_japan,no2_tokyo,0.0001211,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:26
2026-07-05,no2_japan,no2_osaka,6.412e-05,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:26
2026-07-05,no2_japan,no2_nagoya,5.376e-05,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:26
2026-07-05,no2_japan,no2_fukuoka,3.531e-05,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:27
2026-07-05,no2_japan,no2_sapporo,2.481e-05,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:27
2026-07-05,no2_japan,no2_okutama_ref,3.608e-05,mol/m2,21d-mean 2026-06-14..2026-07-05,2026-07-05T00:36:27
2026-07-04,atmospheric_river,ivt_max,6231,kg/m/s,2026-07-04T18Z GFS,2026-07-05T00:36:41
2026-07-04,atmospheric_river,ivt_median,302.1,kg/m/s,2026-07-04T18Z GFS,2026-07-05T00:36:41
